ID,Income,Age,Experience,Married/Single,House_Ownership,Car_Ownership,Profession,STATE,CURRENT_JOB_YRS,CURRENT_HOUSE_YRS,Risk_Flag
79,326455,27,20,single,rented,no,Drafter,West_Bengal,3,14,0
80,6227811,60,14,single,owned,no,Economist,Haryana,12,12,0
81,7839236,68,7,single,rented,no,Biomedical_Engineer,Maharashtra,7,14,1
82,6115704,57,17,single,owned,no,Economist,Jharkhand,12,14,1
83,7433875,32,12,single,rented,yes,Fashion_Designer,Tamil_Nadu,11,10,1
84,6245331,65,6,single,rented,no,Financial_Analyst,Andhra_Pradesh,6,12,0
85,4700701,48,14,single,rented,yes,Secretary,Maharashtra,12,12,0
86,5898669,32,9,married,rented,no,Firefighter,Uttar_Pradesh,6,13,0
87,4329713,42,9,married,rented,no,Fashion_Designer,West_Bengal,6,14,0
88,4047079,49,7,single,rented,yes,Dentist,Madhya_Pradesh,5,14,0
89,9784947,24,11,single,rented,no,Designer,West_Bengal,11,14,0
90,6097344,27,16,single,rented,yes,Statistician,Kerala,10,14,0
91,826681,78,4,married,rented,yes,Analyst,Andhra_Pradesh,4,14,0
92,137594,52,10,single,rented,yes,Technical_writer,Madhya_Pradesh,7,10,1
93,575463,60,12,single,rented,yes,Firefighter,Gujarat,11,13,0
94,8005608,65,8,single,rented,no,Civil_servant,Haryana,8,12,1
95,7527288,24,10,single,rented,no,Biomedical_Engineer,Bihar,5,11,0
96,7021605,31,14,single,rented,no,Technician,Karnataka,8,10,0
97,3449511,50,19,single,rented,yes,Computer_hardware_engineer,West_Bengal,3,14,0
98,3472864,39,10,single,rented,yes,Software_Developer,Gujarat,5,13,0
99,5083653,35,14,single,rented,yes,Statistician,Tamil_Nadu,12,11,0
100,6275695,66,10,single,rented,no,Architect,Maharashtra,10,11,1
101,4336059,54,12,single,rented,yes,Firefighter,Bihar,12,13,0
102,4976661,22,9,single,rented,no,Architect,Kerala,8,12,0
103,4417164,42,12,single,rented,no,Web_designer,Tamil_Nadu,8,14,0
104,9334042,52,10,single,rented,yes,Economist,Maharashtra,5,11,0
105,535157,50,2,married,rented,no,Engineer,Kerala,2,10,0
106,4126991,66,3,single,rented,no,Microbiologist,Assam,3,12,0
107,5165629,61,0,single,rented,no,Aviator,West_Bengal,0,12,1
108,1240330,29,18,married,rented,yes,Consultant,West_Bengal,12,14,0
109,862841,77,7,single,rented,no,Fashion_Designer,West_Bengal,7,14,0
110,6501716,37,5,single,rented,no,Civil_servant,Maharashtra,5,13,0
111,1197375,41,0,single,rented,yes,Microbiologist,Jammu_and_Kashmir,0,11,0
112,7430695,59,8,single,rented,no,Chef,West_Bengal,8,10,0
113,4726819,67,5,single,rented,no,Consultant,Karnataka,5,13,0
114,1319541,72,10,married,rented,no,Politician,Bihar,10,14,0
115,1281960,24,8,single,rented,no,Politician,Bihar,8,13,0
116,5522159,22,6,single,rented,no,Computer_hardware_engineer,Andhra_Pradesh,6,12,1
117,4428363,46,11,single,rented,no,Software_Developer,Assam,11,10,1
118,4759451,60,4,married,rented,no,Official,Uttar_Pradesh,4,13,0
119,7154493,28,4,single,rented,no,Engineer,Tamil_Nadu,4,13,1
120,245844,67,4,married,rented,no,Economist,West_Bengal,3,11,0
121,8769550,23,13,single,rented,no,Computer_hardware_engineer,Uttar_Pradesh,9,10,1
122,8312895,35,12,single,rented,no,Psychologist,Bihar,11,14,0
123,4432483,69,6,single,rented,no,Hotel_Manager,West_Bengal,6,10,0
124,9867887,79,9,single,rented,no,Physician,Bihar,4,12,0
125,444242,77,11,married,rented,no,Dentist,Assam,8,12,0
126,8288147,32,20,single,rented,no,Financial_Analyst,Gujarat,3,13,0
127,3159260,62,4,single,rented,no,Petroleum_Engineer,West_Bengal,4,10,0
128,8753042,74,12,married,rented,no,Computer_operator,Maharashtra,9,12,0
129,46750,33,13,single,rented,yes,Chef,Gujarat,10,11,1
130,1855377,26,3,single,rented,no,Magistrate,Himachal_Pradesh,3,13,0
131,7187813,47,2,single,rented,no,Flight_attendant,Maharashtra,2,13,1
132,5644262,60,7,single,rented,no,Engineer,Maharashtra,3,11,1
133,4171960,73,16,single,rented,no,Magistrate,Uttar_Pradesh,10,10,0
134,9397962,58,3,married,rented,no,Psychologist,Uttar_Pradesh,3,14,0
135,3643187,77,20,single,rented,no,Web_designer,Karnataka,12,14,0
136,2015341,47,6,single,rented,no,Graphic_Designer,Maharashtra,6,13,0
137,7465121,37,2,single,rented,yes,Microbiologist,West_Bengal,2,12,0
138,3606323,33,0,single,rented,yes,Mechanical_engineer,Assam,0,11,0
139,2966871,78,7,married,rented,no,Magistrate,Bihar,3,11,0
140,8496659,59,12,single,rented,no,Army_officer,Telangana,8,12,0
141,7889777,35,15,single,rented,no,Physician,Jharkhand,13,10,0
142,3345583,32,2,single,rented,no,Mechanical_engineer,Puducherry,2,14,0
143,4392927,41,2,single,rented,no,Chemical_engineer,Uttar_Pradesh,2,13,1
144,4995211,68,9,single,rented,no,Firefighter,Maharashtra,9,11,0
145,3970273,53,14,single,rented,no,Air_traffic_controller,Madhya_Pradesh,4,12,0
146,2570688,46,9,single,rented,no,Firefighter,Bihar,9,11,0
147,2506726,54,11,single,rented,no,Designer,Maharashtra,6,14,0
148,9657655,76,0,single,rented,no,Psychologist,Punjab,0,12,0
149,4269729,70,8,single,rented,yes,Fashion_Designer,Uttar_Pradesh,8,13,0
150,799233,72,4,single,rented,yes,Hotel_Manager,Karnataka,4,14,0
151,8791091,33,15,single,rented,no,Microbiologist,Haryana,12,14,0
152,1122270,72,11,single,rented,no,Librarian,Odisha,5,12,0
153,3775604,46,11,single,rented,no,Surgeon,Andhra_Pradesh,5,11,1
154,8195887,79,16,single,rented,no,Chef,Maharashtra,14,13,1
155,4392149,59,11,single,rented,no,Secretary,Telangana,10,13,0
156,4991059,39,11,single,rented,no,Magistrate,Uttar_Pradesh,11,14,0
157,1013313,32,16,single,rented,no,Geologist,Uttar_Pradesh,10,12,0
158,1800877,21,10,married,rented,yes,Software_Developer,Andhra_Pradesh,5,13,0
159,2217063,34,3,single,rented,no,Computer_hardware_engineer,West_Bengal,3,11,0
160,1134496,77,3,single,rented,no,Surgeon,Bihar,3,10,1
161,7462623,46,13,single,rented,no,Fashion_Designer,West_Bengal,10,14,0
162,6045182,78,6,single,rented,no,Designer,Karnataka,6,12,0
163,6847133,69,7,single,rented,no,Surgeon,Jharkhand,6,10,0
164,5403886,29,14,single,rented,no,Scientist,Andhra_Pradesh,7,10,0
165,1856689,46,5,single,rented,yes,Air_traffic_controller,Maharashtra,5,12,1
166,4998898,27,13,single,rented,no,Economist,Gujarat,13,11,0
167,3367218,28,5,single,rented,no,Analyst,West_Bengal,4,11,0
168,4195266,40,20,married,rented,no,Web_designer,Rajasthan,14,14,0
169,8451099,70,4,single,rented,yes,Design_Engineer,Bihar,4,13,1
170,624985,47,11,single,rented,no,Software_Developer,Uttar_Pradesh,6,11,1
171,3207222,28,3,single,rented,yes,Dentist,Karnataka,3,10,0
172,4341286,75,1,single,rented,no,Consultant,Andhra_Pradesh,1,13,0
173,233888,64,1,single,rented,no,Psychologist,Karnataka,1,10,1
174,2942291,50,11,single,owned,no,Financial_Analyst,Uttar_Pradesh,4,11,0
175,6044767,60,12,single,rented,yes,Engineer,Tamil_Nadu,10,13,0
176,6694786,69,17,single,norent_noown,no,Surveyor,Telangana,11,11,1
177,470555,50,10,single,owned,no,Secretary,West_Bengal,3,14,0
178,8949796,66,0,single,rented,yes,Petroleum_Engineer,Andhra_Pradesh,0,12,0
179,412015,23,8,single,rented,no,Technical_writer,Haryana,4,10,0
180,9352887,53,6,single,rented,yes,Technical_writer,Uttar_Pradesh,6,11,1
181,9226716,55,3,single,rented,no,Graphic_Designer,Maharashtra,3,11,0
182,9364159,77,6,married,rented,no,Software_Developer,Gujarat,4,11,0
183,9934516,66,6,single,rented,yes,Hotel_Manager,West_Bengal,6,14,0
184,884898,48,8,single,rented,yes,Artist,Karnataka,8,10,0
185,5681211,79,18,single,rented,no,Web_designer,Puducherry,8,10,0
186,1185014,23,5,single,rented,no,Magistrate,Bihar,5,13,0
187,9603186,43,5,single,rented,no,Microbiologist,Bihar,5,13,1
188,3489049,66,11,single,rented,no,Software_Developer,Tamil_Nadu,11,12,1
189,5653642,42,3,single,rented,no,Civil_engineer,Maharashtra,3,11,1
190,9899664,45,5,single,rented,no,Software_Developer,West_Bengal,5,10,0
191,6862187,22,7,single,rented,no,Scientist,Jammu_and_Kashmir,7,12,1
192,979926,61,14,single,rented,yes,Police_officer,Madhya_Pradesh,7,11,1
193,424671,64,15,single,rented,yes,Firefighter,Madhya_Pradesh,4,11,0
194,347930,64,5,single,rented,no,Politician,Andhra_Pradesh,5,12,0
195,8645202,65,9,single,owned,no,Technician,Jharkhand,9,13,0
196,2028733,38,4,single,rented,yes,Architect,Maharashtra,4,11,0
197,7977722,69,19,married,rented,no,Flight_attendant,Gujarat,14,12,0
198,6816106,31,20,single,rented,yes,Statistician,Andhra_Pradesh,11,14,0
199,4853948,39,10,single,rented,no,Magistrate,Andhra_Pradesh,10,10,0
200,227394,56,12,single,rented,no,Firefighter,Bihar,5,14,0
201,5330432,47,2,single,rented,yes,Chemical_engineer,West_Bengal,2,10,0
202,9830639,70,16,single,rented,no,Army_officer,Andhra_Pradesh,5,11,0
203,4184636,55,2,single,rented,yes,Official,Punjab,2,10,0
204,2667227,76,6,single,rented,no,Official,Uttar_Pradesh,6,14,0
205,4736350,38,13,single,rented,no,Microbiologist,Haryana,6,13,1
206,5886958,60,16,single,rented,no,Analyst,Uttar_Pradesh,3,10,0
207,9845816,31,20,single,rented,no,Lawyer,Tamil_Nadu,14,11,0
208,7512179,55,13,single,rented,no,Physician,Uttar_Pradesh,11,14,0
209,2603179,39,20,single,rented,yes,Politician,Bihar,13,11,0
210,9317473,63,20,single,rented,yes,Civil_servant,West_Bengal,14,14,0
211,5616245,76,20,single,rented,yes,Surveyor,Andhra_Pradesh,13,13,0
212,4110754,36,4,single,rented,no,Petroleum_Engineer,Tamil_Nadu,4,13,0
213,6305461,41,11,single,rented,yes,Air_traffic_controller,Uttar_Pradesh,7,14,1
214,7552268,38,6,single,rented,no,Civil_engineer,West_Bengal,5,10,1
215,4334503,22,6,single,owned,no,Designer,Madhya_Pradesh,6,14,0
216,1328487,67,12,married,rented,no,Flight_attendant,Gujarat,7,10,0
217,152426,27,18,single,rented,no,Librarian,Delhi,8,12,0
218,7992060,44,15,single,rented,no,Fashion_Designer,Assam,4,11,0
219,7357515,50,13,single,rented,yes,Fashion_Designer,Madhya_Pradesh,7,14,0
220,7115862,52,17,single,rented,no,Physician,Delhi,14,11,0
221,1532701,79,2,single,rented,no,Graphic_Designer,Uttar_Pradesh,2,12,0
222,4421612,79,20,single,rented,no,Firefighter,Haryana,8,11,0
223,9521305,77,9,single,rented,no,Consultant,Bihar,9,13,0
224,2433481,48,0,single,norent_noown,yes,Biomedical_Engineer,Chhattisgarh,0,14,0
225,6668221,66,20,single,rented,no,Industrial_Engineer,Maharashtra,11,11,1
226,5109740,39,6,single,rented,no,Flight_attendant,Uttar_Pradesh,6,14,1
227,3902265,26,5,single,rented,no,Computer_hardware_engineer,Chhattisgarh,3,14,0
228,8602683,46,1,married,rented,no,Web_designer,Karnataka,1,10,0
229,7636933,44,4,single,rented,yes,Consultant,Madhya_Pradesh,4,14,0
230,665309,69,11,single,rented,no,Hotel_Manager,Maharashtra,11,11,0
231,9812058,72,1,single,rented,yes,Economist,Kerala,1,14,0
232,9999180,22,0,single,rented,no,Drafter,Gujarat,0,11,0
233,1126863,43,1,single,rented,no,Mechanical_engineer,Andhra_Pradesh,1,11,0
234,8774556,63,2,single,rented,no,Flight_attendant,West_Bengal,2,12,0
235,1882143,45,19,single,rented,yes,Magistrate,Uttar_Pradesh,4,14,1
236,7167762,49,14,single,rented,no,Firefighter,Madhya_Pradesh,12,14,1
237,7743419,71,15,single,rented,no,Scientist,Delhi,14,14,1
238,3562528,58,9,single,rented,no,Microbiologist,Andhra_Pradesh,9,11,0
239,5323322,77,13,single,rented,no,Civil_engineer,Karnataka,13,10,0
240,5596467,26,17,single,rented,no,Mechanical_engineer,Maharashtra,4,13,0
241,9305585,69,8,single,rented,no,Official,West_Bengal,8,10,1
242,4539480,46,3,single,rented,yes,Fashion_Designer,Andhra_Pradesh,3,11,0
243,9480069,64,2,single,rented,no,Chartered_Accountant,Tamil_Nadu,2,10,0
244,9772105,29,12,single,rented,no,Aviator,Tamil_Nadu,8,14,0
245,9507533,32,4,married,rented,no,Lawyer,Madhya_Pradesh,4,11,0
246,2218280,34,9,single,rented,no,Psychologist,Bihar,9,11,0
247,2252443,77,0,single,rented,no,Surgeon,Chandigarh,0,11,0
248,4525338,23,1,single,rented,no,Graphic_Designer,Andhra_Pradesh,1,12,0
249,9984878,51,18,single,rented,yes,Comedian,Jammu_and_Kashmir,8,12,0
250,2285062,38,2,single,rented,no,Dentist,Andhra_Pradesh,2,12,0
251,6715263,29,0,single,rented,no,Surveyor,Madhya_Pradesh,0,11,1
252,2959223,43,2,single,rented,no,Analyst,Haryana,2,12,0
253,2370396,69,4,married,rented,no,Comedian,Madhya_Pradesh,4,10,0
254,3426695,73,4,single,rented,no,Firefighter,Uttar_Pradesh,4,14,0
255,1923950,50,12,single,rented,no,Geologist,Chandigarh,3,14,0
256,2416807,70,10,single,rented,no,Firefighter,Delhi,4,12,0
257,10310,70,20,single,rented,yes,Engineer,West_Bengal,7,14,0
258,2436026,50,4,single,rented,yes,Lawyer,Telangana,4,10,0
259,5046084,62,7,married,rented,yes,Technician,Madhya_Pradesh,6,14,0
260,6415225,54,13,single,rented,no,Flight_attendant,Uttar_Pradesh,3,13,0
261,1632386,43,20,single,rented,no,Army_officer,Andhra_Pradesh,11,14,1
262,6220011,57,19,single,owned,no,Engineer,Jharkhand,14,14,0
263,461499,68,2,married,rented,no,Official,Uttar_Pradesh[5],2,11,0
264,7579274,26,8,single,rented,no,Army_officer,Madhya_Pradesh,5,14,0
265,7291839,41,1,single,rented,yes,Surgeon,Maharashtra,1,12,1
266,7583437,74,13,single,owned,yes,Web_designer,Uttar_Pradesh,9,13,0
267,9933885,65,12,single,rented,no,Comedian,Maharashtra,4,11,0
268,4187964,78,2,single,rented,yes,Dentist,Tamil_Nadu,2,10,1
269,5498131,61,15,single,rented,no,Industrial_Engineer,Punjab,7,13,0
270,3308198,76,10,single,rented,yes,Economist,Madhya_Pradesh,4,14,0
271,2452563,75,3,single,rented,no,Hotel_Manager,West_Bengal,3,12,0
272,7877007,49,9,single,rented,no,Microbiologist,Andhra_Pradesh,9,10,0
273,7525294,43,11,single,rented,yes,Magistrate,West_Bengal,4,14,0
274,2062343,40,15,married,rented,yes,Aviator,Uttar_Pradesh,14,11,0
275,6152756,49,3,married,rented,no,Psychologist,Gujarat,3,14,0
276,6325118,21,13,single,rented,no,Librarian,Madhya_Pradesh,11,12,1
277,9043312,71,10,single,owned,no,Physician,Punjab,3,14,0
278,9344382,38,14,single,rented,yes,Secretary,Madhya_Pradesh,12,14,0
279,9173731,47,3,single,rented,no,Petroleum_Engineer,Uttar_Pradesh,3,12,0
280,1996629,48,16,single,rented,no,Comedian,Uttar_Pradesh,9,14,0
281,2451457,31,9,married,rented,no,Politician,Uttar_Pradesh,9,12,0
282,4855342,24,0,single,rented,no,Lawyer,Maharashtra,0,13,0
283,2955958,35,17,single,rented,yes,Computer_operator,Maharashtra,7,11,1
284,6360265,31,18,single,rented,no,Scientist,Maharashtra,3,11,0
285,2183371,23,20,single,owned,no,Police_officer,Uttar_Pradesh,3,13,0
286,4718273,25,10,single,rented,no,Lawyer,West_Bengal,8,10,0
287,8459716,79,1,single,rented,no,Graphic_Designer,Uttar_Pradesh,1,14,0
288,2101952,46,18,single,rented,yes,Technical_writer,West_Bengal,7,14,0
289,4531094,41,6,single,rented,no,Magistrate,Uttar_Pradesh,6,13,0
290,7362151,65,4,single,rented,no,Magistrate,Haryana,3,11,0
291,6272411,69,2,married,rented,no,Aviator,West_Bengal,2,10,0
292,7110369,35,7,single,rented,yes,Computer_hardware_engineer,Karnataka,3,11,0
293,7352225,78,14,married,rented,no,Firefighter,West_Bengal,6,14,0
294,2442178,34,15,married,rented,no,Air_traffic_controller,Rajasthan,10,13,0
295,6975092,73,9,single,rented,no,Architect,Andhra_Pradesh,9,13,0
296,6947233,62,10,single,rented,no,Technical_writer,Karnataka,10,12,0
297,1818927,69,8,single,rented,no,Technical_writer,Uttar_Pradesh,8,13,0
298,6197730,71,3,single,rented,no,Dentist,Telangana,3,13,0
299,568591,65,5,single,rented,no,Firefighter,Uttar_Pradesh,5,11,0
300,7167873,61,0,single,rented,yes,Designer,Haryana,0,11,1
301,2277429,42,18,single,rented,no,Analyst,Andhra_Pradesh,4,14,0
302,5697835,55,14,single,owned,no,Designer,West_Bengal,6,14,0
303,9127290,22,11,single,rented,no,Web_designer,Uttar_Pradesh,3,14,1
304,8433425,63,13,married,rented,no,Graphic_Designer,West_Bengal,6,10,0
305,5419964,40,4,single,owned,yes,Computer_operator,Tamil_Nadu,4,13,0
306,9510775,48,3,single,rented,no,Petroleum_Engineer,Bihar,3,14,0
307,908803,22,18,single,rented,no,Librarian,Madhya_Pradesh,3,14,0
308,8010013,45,11,single,rented,no,Technical_writer,Jharkhand,7,14,0
309,5468664,30,2,single,rented,no,Chartered_Accountant,Uttar_Pradesh,2,14,1
310,6936269,46,9,single,rented,no,Firefighter,Andhra_Pradesh,8,14,0
311,6448514,30,6,single,rented,no,Magistrate,Bihar,6,10,0
312,667848,58,10,single,rented,no,Comedian,Haryana,8,12,0
313,6787542,22,0,single,norent_noown,no,Hotel_Manager,Jharkhand,0,12,1
314,9348360,48,12,single,rented,yes,Financial_Analyst,Uttar_Pradesh,12,10,0
315,4543268,32,17,single,rented,no,Flight_attendant,Andhra_Pradesh,3,13,0
316,8143086,22,3,single,rented,no,Flight_attendant,West_Bengal,3,11,1
317,5714288,44,0,single,rented,no,Chartered_Accountant,Karnataka,0,14,0
318,4110066,43,0,single,rented,no,Designer,Uttar_Pradesh,0,12,0
319,6668606,45,2,single,rented,no,Designer,Jharkhand,2,10,0
320,2696703,57,14,single,rented,no,Chef,Bihar,14,12,0
321,8573668,57,15,single,rented,yes,Lawyer,Jharkhand,13,13,1
322,7086647,24,4,married,rented,no,Engineer,Tamil_Nadu,4,14,0
323,3342757,21,18,single,rented,no,Surgeon,Maharashtra,9,14,0
324,2663598,63,15,single,rented,no,Software_Developer,Andhra_Pradesh,11,12,0
325,1680177,33,18,single,owned,no,Industrial_Engineer,Haryana,6,11,1
326,854917,34,0,single,rented,no,Architect,Jharkhand,0,13,0
327,2485396,26,6,single,rented,no,Statistician,Gujarat,6,14,0
328,3261742,36,11,single,rented,no,Consultant,Maharashtra,4,10,0
329,6518572,76,17,single,owned,yes,Technology_specialist,Bihar,14,12,0
330,4706227,76,6,single,rented,yes,Technical_writer,Uttarakhand,6,14,0
331,2429683,43,20,single,rented,no,Financial_Analyst,West_Bengal,14,11,1
332,7020077,63,9,single,rented,no,Mechanical_engineer,Andhra_Pradesh,9,13,1
333,9815414,26,5,single,rented,no,Chartered_Accountant,Delhi,5,14,1
334,2055989,25,18,single,rented,no,Scientist,Odisha,3,10,0
335,8593443,49,12,single,rented,no,Chef,Maharashtra,9,14,0
336,67428,49,12,single,rented,no,Scientist,Andhra_Pradesh,10,11,0
337,4356905,62,2,single,norent_noown,yes,Scientist,Uttar_Pradesh,2,13,0
338,4496096,55,17,single,rented,yes,Librarian,Chhattisgarh,13,13,1
339,3419204,79,18,single,owned,no,Geologist,Kerala,3,12,0
340,4445947,53,17,single,rented,no,Technology_specialist,Tamil_Nadu,4,14,1
341,2542814,55,10,single,rented,no,Consultant,Uttar_Pradesh,8,11,0
342,1670303,35,13,married,rented,no,Analyst,West_Bengal,5,14,0
343,661573,42,20,single,rented,yes,Analyst,Telangana,14,12,0
344,8867807,63,0,single,rented,yes,Scientist,Andhra_Pradesh,0,11,0
345,2132506,79,11,single,owned,no,Financial_Analyst,West_Bengal,11,13,0
346,8739174,28,5,single,rented,no,Secretary,Jharkhand,5,12,0
347,2432816,37,4,single,rented,no,Graphic_Designer,Madhya_Pradesh,4,12,0
348,9446738,55,2,single,rented,no,Design_Engineer,Maharashtra,2,10,0
349,3148837,37,17,single,rented,yes,Psychologist,Bihar,13,13,0
350,8378891,40,10,single,rented,no,Chemical_engineer,Rajasthan,9,12,0
351,7660598,72,11,single,rented,no,Biomedical_Engineer,Maharashtra,11,13,1
352,5331462,57,20,single,rented,yes,Artist,Gujarat,8,14,0
353,4958467,76,2,single,rented,yes,Secretary,Madhya_Pradesh,2,11,0
354,1576088,37,13,single,rented,yes,Chef,Tamil_Nadu,7,12,1
355,7867670,60,19,single,rented,no,Biomedical_Engineer,Gujarat,12,13,0
356,5531708,43,9,single,rented,yes,Technician,Manipur,3,13,0
357,8776228,37,15,single,rented,yes,Magistrate,Madhya_Pradesh,14,11,1
358,7702379,76,6,single,rented,no,Biomedical_Engineer,Maharashtra,6,10,0
359,3722050,73,12,single,rented,no,Mechanical_engineer,West_Bengal,11,13,0
360,9910903,26,15,single,rented,yes,Consultant,West_Bengal,3,11,0
361,6985683,77,13,single,rented,no,Physician,West_Bengal,4,12,0
362,6952653,40,6,single,rented,no,Fashion_Designer,Odisha,6,14,0
363,3991574,62,20,single,rented,no,Technical_writer,Jammu_and_Kashmir,7,10,0
364,7995914,71,0,single,rented,no,Petroleum_Engineer,Karnataka,0,10,0
365,6785181,32,11,single,rented,no,Drafter,Madhya_Pradesh,11,11,1
366,7455976,69,5,single,rented,yes,Fashion_Designer,West_Bengal,5,13,0
367,6190329,21,13,single,rented,no,Geologist,Madhya_Pradesh,13,11,0
