Credit Amount,Duration of Credit (month),Age (years),Creditability,No of dependents,Telephone,Foreign Worker,Sex & Marital Status,Account Balance,Payment Status of Previous Credit,Purpose,Value Savings/Stocks,Length of current employment,Instalment percent,Guarantors,Duration in Current address,Most valuable available asset,Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation
2384,36,33,0,1,0,1,male- single,no balance or debit,no previous credits,household appliances,no savings,less than one year,less than 20,none,less than 1,house/land,no running credits,free apartment,one,unskilled
1424,12,26,1,1,0,1,male- single,no balance or debit,paid back previous credits at this bank,items of furniture,no savings,4  to 7 years,less than 20,none,4 to 7,car/other,no running credits,owner-occupied flat,one,skilled
4716,6,44,1,0,0,1,male- single,no running account,paid back previous credits at this bank,other,greater than 1000,less than one year,greater than 35,none,4 to 7,no assets,no running credits,owner-occupied flat,two or three,unskilled
4771,11,51,1,1,0,1,male- single,no balance or debit,no problems with current credits at this bank,items of furniture,no savings,4  to 7 years,25 and 35,none,greater than 7,car/other,no running credits,owner-occupied flat,one,skilled
652,12,24,1,1,0,1,male- single,no running account,no previous credits,used car,no savings,more than 7 years,less than 20,none,greater than 7,car/other,no running credits,free apartment,one,skilled
1154,9,37,1,1,0,1,male- single,no balance or debit,paid back previous credits at this bank,items of furniture,no savings,more than 7 years,25 and 35,none,greater than 7,no assets,no running credits,owner-occupied flat,four or five,unskilled
3556,15,29,1,1,0,1,male- single,greater than $200,no previous credits,other,greater than 1000,1 to 4 years,20 and 25,none,1 to 4,house/land,no running credits,owner-occupied flat,one,skilled
4796,42,56,1,1,0,1,male- single,Less than $200,paid back previous credits at this bank,new car,no savings,more than 7 years,less than 20,none,greater than 7,house/land,no running credits,rented flat,one,skilled
3017,30,47,1,1,0,1,male- single,Less than $200,paid back previous credits at this bank,items of furniture,no savings,more than 7 years,less than 20,none,greater than 7,car/other,no running credits,owner-occupied flat,one,skilled
3535,36,37,1,1,1,1,male- single,greater than $200,paid back previous credits at this bank,other,no savings,4  to 7 years,less than 20,none,greater than 7,savings,no running credits,owner-occupied flat,two or three,skilled
6614,36,34,1,1,1,1,male- single,greater than $200,paid back previous credits at this bank,other,no savings,more than 7 years,less than 20,none,greater than 7,savings,no running credits,owner-occupied flat,two or three,executive
1376,24,28,1,1,0,1,male- single,greater than $200,no previous credits,items of furniture,100 to 500,4  to 7 years,less than 20,none,less than 1,savings,no running credits,owner-occupied flat,one,skilled
1721,15,36,1,1,0,1,male- single,no running account,no previous credits,other,no savings,less than one year,25 and 35,none,4 to 7,no assets,no running credits,owner-occupied flat,one,skilled
860,6,39,1,1,1,1,male- single,no running account,paid back previous credits at this bank,other,no savings,more than 7 years,greater than 35,none,greater than 7,house/land,no running credits,owner-occupied flat,two or three,skilled
1495,12,38,1,0,0,1,male- single,greater than $200,paid back previous credits at this bank,other,no savings,more than 7 years,less than 20,none,less than 1,no assets,no running credits,owner-occupied flat,two or three,unskilled
1934,12,26,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,items of furniture,no savings,more than 7 years,25 and 35,none,1 to 4,house/land,no running credits,owner-occupied flat,two or three,skilled
3378,18,31,1,1,1,1,male- single,greater than $200,no previous credits,new car,greater than 1000,1 to 4 years,25 and 35,none,less than 1,car/other,no running credits,owner-occupied flat,one,skilled
3868,24,41,1,1,1,1,male- single,greater than $200,paid back previous credits at this bank,new car,no savings,more than 7 years,less than 20,none,1 to 4,savings,no running credits,free apartment,two or three,executive
996,12,23,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,household appliances,greater than 1000,4  to 7 years,less than 20,none,greater than 7,no assets,no running credits,owner-occupied flat,two or three,skilled
1755,24,58,1,1,1,1,male- single,no running account,no previous credits,new carother,no savings,more than 7 years,less than 20,guarantor,greater than 7,no assets,no running credits,owner-occupied flat,one,unskilled
1028,18,36,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,other,no savings,1 to 4 years,less than 20,none,4 to 7,no assets,no running credits,owner-occupied flat,two or three,skilled
2825,24,34,1,0,1,1,male- single,no balance or debit,paid back previous credits at this bank,retraining,greater than 1000,4  to 7 years,less than 20,none,4 to 7,house/land,no running credits,owner-occupied flat,two or three,skilled
1239,18,61,1,1,0,1,male- single,no balance or debit,no previous credits,repair,greater than 1000,1 to 4 years,less than 20,none,greater than 7,house/land,no running credits,rented flat,one,skilled
1216,18,23,0,1,1,1,male- single,no running account,no previous credits,other,no savings,less than one year,less than 20,none,4 to 7,savings,no running credits,free apartment,one,skilled
1258,24,25,1,1,1,1,male- single,greater than $200,no previous credits,retraining,no savings,4  to 7 years,less than 20,none,less than 1,no assets,no running credits,owner-occupied flat,one,skilled
1864,18,30,0,1,0,1,male- single,greater than $200,paid back previous credits at this bank,repair,less than 100,1 to 4 years,less than 20,none,1 to 4,no assets,no running credits,owner-occupied flat,two or three,skilled
1474,24,33,1,1,1,1,female,greater than $200,no previous credits,other,less than 100,less than one year,less than 20,none,4 to 7,no assets,no running credits,owner-occupied flat,one,skilled
1382,24,26,1,1,1,1,male- single,no running account,paid back previous credits at this bank,retraining,less than 100,4  to 7 years,less than 20,none,less than 1,no assets,no running credits,owner-occupied flat,two or three,skilled
640,12,49,1,1,0,1,male- divorced / living apart,greater than $200,no previous credits,other,no savings,1 to 4 years,less than 20,none,1 to 4,no assets,no running credits,owner-occupied flat,one,unskilled
3919,36,23,1,1,1,1,male- single,Less than $200,no previous credits,items of furniture,no savings,1 to 4 years,25 and 35,none,1 to 4,no assets,no running credits,owner-occupied flat,one,skilled
1224,9,30,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,other,no savings,1 to 4 years,20 and 25,none,less than 1,no assets,no running credits,owner-occupied flat,two or three,skilled
2331,12,49,1,1,1,1,male- single,greater than $200,paid back previous credits at this bank,items of furniture,greater than 1000,more than 7 years,greater than 35,co-applicant,greater than 7,no assets,no running credits,owner-occupied flat,one,skilled
6313,24,41,1,0,1,1,male- single,greater than $200,no previous credits,new car,greater than 1000,more than 7 years,20 and 25,none,greater than 7,savings,no running credits,owner-occupied flat,one,executive
385,12,58,1,1,1,1,male- single,no running account,paid back previous credits at this bank,items of furniture,no savings,4  to 7 years,less than 20,none,4 to 7,no assets,no running credits,owner-occupied flat,six or more,unskilled
1655,12,63,1,1,1,1,male- single,greater than $200,paid back previous credits at this bank,items of furniture,no savings,more than 7 years,25 and 35,none,greater than 7,no assets,no running credits,owner-occupied flat,two or three,unskilled
1053,15,27,1,1,0,0,female,no running account,no previous credits,items of furniture,no savings,less than one year,less than 20,none,1 to 4,no assets,no running credits,owner-occupied flat,one,skilled
3160,21,41,1,1,1,1,male- single,greater than $200,no previous credits,items of furniture,greater than 1000,more than 7 years,less than 20,none,4 to 7,car/other,no running credits,owner-occupied flat,one,skilled
3079,36,36,1,1,0,1,male- single,greater than $200,no previous credits,other,greater than 1000,1 to 4 years,less than 20,none,greater than 7,no assets,no running credits,owner-occupied flat,one,skilled
1163,12,44,1,1,1,1,male- single,greater than $200,paid back previous credits at this bank,other,100 to 500,1 to 4 years,less than 20,none,greater than 7,no assets,no running credits,owner-occupied flat,one,skilled
2679,24,29,1,1,1,1,male- single,greater than $200,no previous credits,new car,no savings,less than one year,less than 20,none,less than 1,house/land,no running credits,owner-occupied flat,one,executive
3578,48,47,1,1,1,1,male- single,greater than $200,paid back previous credits at this bank,items of furniture,greater than 1000,more than 7 years,less than 20,none,less than 1,no assets,no running credits,owner-occupied flat,one,skilled
10875,36,45,1,0,1,1,male- single,greater than $200,no problems with current credits at this bank,other,no savings,more than 7 years,25 and 35,none,1 to 4,savings,no running credits,owner-occupied flat,two or three,skilled
1344,12,43,1,0,0,1,male- single,no running account,no problems with current credits at this bank,other,no savings,1 to 4 years,less than 20,none,1 to 4,no assets,no running credits,owner-occupied flat,two or three,unskilled
1237,6,27,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,items of furniture,less than 100,1 to 4 years,greater than 35,none,less than 1,car/other,no running credits,owner-occupied flat,two or three,skilled
3077,12,52,1,1,1,1,male- single,greater than $200,no previous credits,items of furniture,no savings,1 to 4 years,25 and 35,none,greater than 7,savings,no running credits,owner-occupied flat,one,skilled
2284,24,28,1,1,1,1,male- single,greater than $200,no previous credits,items of furniture,no savings,4  to 7 years,less than 20,none,1 to 4,savings,no running credits,owner-occupied flat,one,skilled
1567,12,22,1,1,1,1,male- single,no balance or debit,no previous credits,items of furniture,no savings,1 to 4 years,greater than 35,none,less than 1,savings,no running credits,owner-occupied flat,one,skilled
2032,24,60,1,1,1,1,male- single,greater than $200,no problems with current credits at this bank,other,no savings,more than 7 years,less than 20,none,greater than 7,house/land,no running credits,rented flat,two or three,skilled
2745,21,32,1,1,1,1,male- single,no balance or debit,paid back previous credits at this bank,used car,500 to 1000,4  to 7 years,20 and 25,none,1 to 4,savings,no running credits,owner-occupied flat,two or three,skilled
1867,30,58,1,1,1,1,male- single,greater than $200,no previous credits,items of furniture,greater than 1000,more than 7 years,less than 20,none,greater than 7,savings,no running credits,owner-occupied flat,one,skilled
2299,36,39,1,1,0,1,male- single,greater than $200,no previous credits,items of furniture,100 to 500,more than 7 years,less than 20,none,greater than 7,savings,no running credits,owner-occupied flat,one,skilled
929,24,31,1,1,1,1,male- single,greater than $200,no previous credits,used car,greater than 1000,4  to 7 years,less than 20,none,1 to 4,savings,department stores,owner-occupied flat,one,skilled
3399,12,37,1,1,0,1,male- single,Less than $200,no previous credits,items of furniture,greater than 1000,more than 7 years,25 and 35,none,4 to 7,savings,no running credits,owner-occupied flat,one,executive
2030,9,24,1,1,1,1,male- single,no balance or debit,no previous credits,used car,greater than 1000,4  to 7 years,25 and 35,none,less than 1,savings,no running credits,owner-occupied flat,one,skilled
3275,21,36,1,1,1,1,male- single,greater than $200,paid back previous credits at this bank,new car,no savings,more than 7 years,greater than 35,none,greater than 7,savings,no running credits,owner-occupied flat,one,executive
1940,24,60,1,1,1,1,male- single,greater than $200,paid back previous credits at this bank,other,500 to 1000,more than 7 years,less than 20,none,greater than 7,no assets,no running credits,owner-occupied flat,one,skilled
1602,21,30,1,1,1,1,female,no running account,paid back previous credits at this bank,other,no savings,more than 7 years,less than 20,none,4 to 7,savings,no running credits,owner-occupied flat,two or three,skilled
1979,15,35,1,1,0,1,male- single,greater than $200,no previous credits,items of furniture,greater than 1000,more than 7 years,less than 20,none,1 to 4,savings,no running credits,owner-occupied flat,one,skilled
2022,24,37,1,1,1,1,male- single,greater than $200,paid back previous credits at this bank,other,no savings,1 to 4 years,less than 20,none,greater than 7,savings,no running credits,owner-occupied flat,one,skilled
3342,36,51,1,1,1,1,male- single,greater than $200,paid back previous credits at this bank,items of furniture,greater than 1000,more than 7 years,less than 20,none,1 to 4,savings,no running credits,owner-occupied flat,one,skilled
5866,18,30,1,1,1,1,male- single,no balance or debit,no previous credits,other,less than 100,1 to 4 years,25 and 35,none,1 to 4,savings,no running credits,owner-occupied flat,two or three,skilled
2360,15,36,1,1,1,1,male- single,Less than $200,paid back previous credits at this bank,new car,100 to 500,1 to 4 years,25 and 35,none,1 to 4,savings,no running credits,owner-occupied flat,one,skilled
1520,15,63,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,used car,greater than 1000,more than 7 years,less than 20,none,greater than 7,car/other,no running credits,owner-occupied flat,one,skilled
3651,12,31,1,0,0,1,male- single,no running account,no previous credits,other,500 to 1000,1 to 4 years,greater than 35,none,4 to 7,car/other,no running credits,owner-occupied flat,one,skilled
2346,24,35,1,1,1,1,male- single,greater than $200,paid back previous credits at this bank,new car,no savings,4  to 7 years,less than 20,none,4 to 7,savings,no running credits,owner-occupied flat,two or three,skilled
4454,36,34,1,1,0,1,male- single,greater than $200,no problems with current credits at this bank,items of furniture,no savings,1 to 4 years,less than 20,none,greater than 7,no assets,no running credits,owner-occupied flat,two or three,skilled
666,6,39,1,1,1,1,male- single,no running account,paid back previous credits at this bank,other,500 to 1000,4  to 7 years,20 and 25,none,greater than 7,no assets,no running credits,owner-occupied flat,two or three,unskilled
1965,24,42,1,1,1,1,male- single,no balance or debit,no problems with current credits at this bank,other,greater than 1000,1 to 4 years,less than 20,none,greater than 7,savings,no running credits,free apartment,two or three,skilled
1995,12,27,1,1,0,1,male- single,no balance or debit,paid back previous credits at this bank,other,less than 100,less than one year,less than 20,none,less than 1,savings,no running credits,owner-occupied flat,one,skilled
2991,30,25,1,1,0,1,male- single,no balance or debit,no previous credits,items of furniture,greater than 1000,more than 7 years,25 and 35,none,greater than 7,savings,no running credits,owner-occupied flat,one,skilled
4221,30,28,1,1,0,1,male- single,no balance or debit,hesitant payment of previous credits,retraining,no savings,1 to 4 years,25 and 35,none,less than 1,savings,no running credits,owner-occupied flat,two or three,skilled
1364,9,59,1,1,0,1,male- single,no running account,no previous credits,items of furniture,no savings,4  to 7 years,20 and 25,none,greater than 7,no assets,no running credits,owner-occupied flat,one,skilled
6361,18,41,1,1,1,1,male- single,no balance or debit,paid back previous credits at this bank,used car,no savings,more than 7 years,25 and 35,none,less than 1,house/land,no running credits,owner-occupied flat,one,skilled
4526,27,32,1,0,1,1,male- single,greater than $200,paid back previous credits at this bank,used car,500 to 1000,less than one year,less than 20,none,1 to 4,no assets,department stores,owner-occupied flat,two or three,unskilled
3573,12,23,1,1,0,1,male- single,no balance or debit,paid back previous credits at this bank,items of furniture,no savings,1 to 4 years,greater than 35,none,less than 1,no assets,no running credits,owner-occupied flat,one,unskilled
4455,36,30,0,1,1,1,male- divorced / living apart,no balance or debit,no problems with current credits at this bank,retraining,no savings,1 to 4 years,25 and 35,none,1 to 4,no assets,department stores,owner-occupied flat,two or three,executive
2136,9,25,1,1,0,1,male- single,no running account,no previous credits,used car,no savings,1 to 4 years,20 and 25,none,1 to 4,no assets,no running credits,owner-occupied flat,one,skilled
5954,42,41,1,1,0,1,male- single,no balance or debit,paid back previous credits at this bank,retraining,no savings,4  to 7 years,25 and 35,none,less than 1,no assets,other banks,owner-occupied flat,two or three,unskilled
3777,24,40,1,1,1,1,male- single,greater than $200,paid back previous credits at this bank,used car,500 to 1000,1 to 4 years,less than 20,none,greater than 7,no assets,no running credits,owner-occupied flat,one,skilled
806,15,22,1,1,0,1,male- single,no running account,no previous credits,retraining,no savings,1 to 4 years,less than 20,none,greater than 7,car/other,no running credits,owner-occupied flat,one,unskilled
4712,24,34,1,1,1,1,male- single,no balance or debit,no problems with current credits at this bank,retraining,greater than 1000,1 to 4 years,less than 20,none,1 to 4,car/other,other banks,owner-occupied flat,two or three,executive
7432,36,54,1,1,0,1,male- single,no balance or debit,no problems with current credits at this bank,other,no savings,1 to 4 years,25 and 35,none,1 to 4,car/other,no running credits,free apartment,one,skilled
1851,24,33,1,1,1,1,female,greater than $200,paid back previous credits at this bank,items of furniture,no savings,4  to 7 years,less than 20,guarantor,1 to 4,savings,no running credits,owner-occupied flat,two or three,skilled
1393,24,31,1,1,1,1,male- single,greater than $200,no previous credits,other,no savings,1 to 4 years,25 and 35,guarantor,1 to 4,no assets,no running credits,owner-occupied flat,one,skilled
1412,12,29,1,1,1,1,male- single,greater than $200,paid back previous credits at this bank,retraining,no savings,1 to 4 years,less than 20,guarantor,1 to 4,no assets,no running credits,owner-occupied flat,two or three,executive
1473,18,39,1,1,1,1,female,greater than $200,no previous credits,items of furniture,no savings,less than one year,20 and 25,none,greater than 7,no assets,no running credits,owner-occupied flat,one,skilled
1533,24,38,1,1,1,1,male- single,greater than $200,no previous credits,items of furniture,no savings,less than one year,less than 20,none,4 to 7,savings,department stores,owner-occupied flat,one,skilled
2012,12,61,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,repair,greater than 1000,4  to 7 years,less than 20,none,1 to 4,savings,no running credits,owner-occupied flat,one,skilled
3959,15,29,0,1,1,1,male- single,no running account,no previous credits,other,no savings,1 to 4 years,20 and 25,none,1 to 4,car/other,no running credits,owner-occupied flat,one,skilled
428,6,49,1,1,1,1,male- single,no running account,no previous credits,used car,no savings,more than 7 years,25 and 35,none,less than 1,car/other,other banks,owner-occupied flat,one,skilled
2366,12,36,1,1,1,1,male- divorced / living apart,no balance or debit,paid back previous credits at this bank,other,100 to 500,4  to 7 years,20 and 25,none,4 to 7,savings,no running credits,owner-occupied flat,one,executive
763,12,26,1,1,1,1,male- single,greater than $200,no previous credits,used car,no savings,1 to 4 years,less than 20,none,less than 1,no assets,no running credits,owner-occupied flat,one,skilled
3976,21,35,1,1,1,1,male- single,no balance or debit,no previous credits,used car,greater than 1000,4  to 7 years,25 and 35,none,4 to 7,savings,no running credits,owner-occupied flat,one,skilled
6260,18,28,1,1,0,1,male- single,no balance or debit,no previous credits,other,no savings,4  to 7 years,20 and 25,none,4 to 7,no assets,no running credits,free apartment,one,unskilled
1919,9,35,1,1,1,1,male- single,no balance or debit,paid back previous credits at this bank,used car,no savings,4  to 7 years,less than 20,none,4 to 7,savings,no running credits,free apartment,one,skilled
2603,24,28,1,1,1,1,male- single,greater than $200,no previous credits,new car,500 to 1000,1 to 4 years,25 and 35,none,greater than 7,savings,no running credits,free apartment,one,skilled
936,9,52,1,1,1,1,male- single,greater than $200,paid back previous credits at this bank,repair,100 to 500,more than 7 years,less than 20,none,1 to 4,savings,no running credits,owner-occupied flat,two or three,skilled
3062,24,32,1,1,1,1,male- single,greater than $200,no previous credits,used car,100 to 500,more than 7 years,less than 20,none,4 to 7,house/land,no running credits,free apartment,one,skilled
4795,36,30,1,1,1,1,male- single,no balance or debit,no previous credits,items of furniture,no savings,less than one year,less than 20,none,less than 1,house/land,no running credits,owner-occupied flat,one,executive
5842,36,35,1,0,1,1,male- single,greater than $200,paid back previous credits at this bank,new car,no savings,more than 7 years,25 and 35,none,1 to 4,car/other,no running credits,owner-occupied flat,two or three,skilled
2063,6,30,1,1,1,1,female,no balance or debit,no previous credits,items of furniture,no savings,less than one year,less than 20,none,4 to 7,savings,no running credits,free apartment,one,executive
1459,15,43,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,items of furniture,no savings,1 to 4 years,less than 20,none,1 to 4,savings,no running credits,owner-occupied flat,one,unskilled
1213,15,47,1,1,1,1,male- single,greater than $200,no previous credits,items of furniture,100 to 500,more than 7 years,less than 20,none,4 to 7,car/other,department stores,owner-occupied flat,one,skilled
5103,24,47,1,1,1,1,female,greater than $200,paid back previous credits at this bank,items of furniture,no savings,less than one year,20 and 25,none,4 to 7,house/land,no running credits,rented flat,four or five,skilled
874,15,24,1,1,0,1,male- single,greater than $200,no previous credits,items of furniture,greater than 1000,less than one year,less than 20,none,less than 1,no assets,no running credits,owner-occupied flat,one,skilled
2978,6,32,1,1,1,1,male- single,greater than $200,no previous credits,used car,100 to 500,1 to 4 years,greater than 35,none,1 to 4,savings,no running credits,owner-occupied flat,one,skilled
1820,18,30,1,1,1,1,female,greater than $200,no previous credits,other,no savings,1 to 4 years,25 and 35,none,1 to 4,car/other,no running credits,owner-occupied flat,one,executive
2872,24,36,1,0,1,1,male- single,greater than $200,paid back previous credits at this bank,items of furniture,less than 100,more than 7 years,20 and 25,none,greater than 7,no assets,no running credits,owner-occupied flat,one,skilled
1925,24,26,1,1,0,1,male- single,Less than $200,no previous credits,used car,no savings,1 to 4 years,25 and 35,none,1 to 4,no assets,no running credits,owner-occupied flat,one,skilled
2515,18,43,1,1,1,1,male- single,greater than $200,no previous credits,used car,no savings,1 to 4 years,20 and 25,none,greater than 7,no assets,no running credits,owner-occupied flat,one,skilled
2116,6,41,1,1,1,1,male- single,Less than $200,no previous credits,used car,no savings,1 to 4 years,25 and 35,none,1 to 4,no assets,no running credits,owner-occupied flat,one,skilled
1453,18,26,1,1,0,1,male- single,greater than $200,no previous credits,items of furniture,no savings,less than one year,20 and 25,none,less than 1,no assets,no running credits,owner-occupied flat,one,skilled
1364,10,64,1,1,1,1,male- single,greater than $200,no previous credits,other,no savings,1 to 4 years,25 and 35,none,greater than 7,savings,no running credits,owner-occupied flat,one,skilled
1543,6,33,1,1,0,1,male- divorced / living apart,greater than $200,no previous credits,used car,500 to 1000,1 to 4 years,less than 20,none,1 to 4,no assets,no running credits,owner-occupied flat,one,skilled
1318,12,54,1,1,1,1,male- single,no balance or debit,no previous credits,other,500 to 1000,more than 7 years,less than 20,none,greater than 7,no assets,no running credits,owner-occupied flat,one,skilled
2325,24,32,1,1,0,1,male- single,no running account,problematic running account,other,less than 100,4  to 7 years,25 and 35,none,4 to 7,savings,other banks,owner-occupied flat,one,skilled
932,6,39,1,1,0,1,male- single,no balance or debit,paid back previous credits at this bank,vacation,greater than 1000,4  to 7 years,greater than 35,none,4 to 7,car/other,no running credits,owner-occupied flat,two or three,unskilled
3148,24,31,1,1,1,1,male- single,Less than $200,paid back previous credits at this bank,items of furniture,greater than 1000,1 to 4 years,20 and 25,none,1 to 4,savings,no running credits,owner-occupied flat,two or three,skilled
3835,36,45,1,1,1,1,male- single,greater than $200,no previous credits,items of furniture,greater than 1000,more than 7 years,25 and 35,none,greater than 7,no assets,no running credits,owner-occupied flat,one,unskilled
3832,9,64,1,1,0,1,male- single,greater than $200,no previous credits,repair,greater than 1000,more than 7 years,greater than 35,none,greater than 7,no assets,no running credits,owner-occupied flat,one,unskilled
5084,24,42,1,1,1,1,male- single,no balance or debit,no previous credits,items of furniture,greater than 1000,more than 7 years,25 and 35,none,greater than 7,savings,no running credits,owner-occupied flat,one,skilled
2406,9,31,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,used car,no savings,unemployed,25 and 35,none,4 to 7,savings,no running credits,owner-occupied flat,one,executive
2394,36,25,1,1,0,1,male- single,greater than $200,no previous credits,items of furniture,greater than 1000,1 to 4 years,less than 20,none,greater than 7,savings,no running credits,owner-occupied flat,one,skilled
2476,21,46,1,1,1,1,male- single,greater than $200,no previous credits,new car,greater than 1000,more than 7 years,less than 20,none,greater than 7,no assets,no running credits,owner-occupied flat,one,executive
2964,24,49,1,0,1,1,male- single,no running account,no previous credits,new car,greater than 1000,more than 7 years,less than 20,none,greater than 7,house/land,other banks,rented flat,one,skilled
1262,12,49,1,1,1,1,male- divorced / living apart,no running account,no previous credits,used car,greater than 1000,more than 7 years,25 and 35,none,greater than 7,car/other,no running credits,owner-occupied flat,one,unskilled
1542,12,36,1,1,1,1,male- single,greater than $200,no previous credits,retraining,no savings,4  to 7 years,25 and 35,none,greater than 7,savings,no running credits,owner-occupied flat,one,skilled
1743,24,48,1,1,0,1,male- single,no balance or debit,paid back previous credits at this bank,items of furniture,no savings,more than 7 years,less than 20,none,1 to 4,car/other,no running credits,owner-occupied flat,two or three,unskilled
409,12,42,1,1,0,1,male- single,Less than $200,problematic running account,items of furniture,500 to 1000,1 to 4 years,20 and 25,none,4 to 7,no assets,no running credits,free apartment,two or three,skilled
2171,12,29,1,1,0,1,male- single,greater than $200,no previous credits,items of furniture,no savings,less than one year,25 and 35,none,1 to 4,savings,other banks,owner-occupied flat,one,skilled
8858,48,35,1,1,1,1,male- single,greater than $200,paid back previous credits at this bank,new car,greater than 1000,4  to 7 years,25 and 35,none,less than 1,house/land,no running credits,rented flat,two or three,skilled
3512,24,38,1,1,1,1,male- single,no balance or debit,no previous credits,other,less than 100,4  to 7 years,25 and 35,none,4 to 7,savings,other banks,owner-occupied flat,two or three,skilled
1158,12,26,1,1,1,1,male- divorced / living apart,no balance or debit,no previous credits,items of furniture,100 to 500,1 to 4 years,20 and 25,none,less than 1,savings,no running credits,owner-occupied flat,one,skilled
2684,24,35,1,1,0,1,male- single,greater than $200,paid back previous credits at this bank,items of furniture,no savings,1 to 4 years,less than 20,none,1 to 4,no assets,no running credits,owner-occupied flat,two or three,unskilled
