ID,Income,Age,Job Experience,Risk_Flag
181,9226716,55,3,0
182,9364159,77,6,0
183,9934516,66,6,0
184,884898,48,8,0
185,5681211,79,18,0
186,1185014,23,5,0
187,9603186,43,5,1
188,3489049,66,11,1
189,5653642,42,3,1
190,9899664,45,5,0
191,6862187,22,7,1
192,979926,61,14,1
193,424671,64,15,0
194,347930,64,5,0
195,8645202,65,9,0
196,2028733,38,4,0
197,7977722,69,19,0
198,6816106,31,20,0
199,4853948,39,10,0
200,227394,56,12,0
201,5330432,47,2,0
202,9830639,70,16,0
203,4184636,55,2,0
204,2667227,76,6,0
205,4736350,38,13,1
206,5886958,60,16,0
207,9845816,31,20,0
208,7512179,55,13,0
209,2603179,39,20,0
210,9317473,63,20,0
211,5616245,76,20,0
212,4110754,36,4,0
213,6305461,41,11,1
214,7552268,38,6,1
215,4334503,22,6,0
216,1328487,67,12,0
217,152426,27,18,0
218,7992060,44,15,0
219,7357515,50,13,0
220,7115862,52,17,0
221,1532701,79,2,0
222,4421612,79,20,0
223,9521305,77,9,0
224,2433481,48,0,0
225,6668221,66,20,1
226,5109740,39,6,1
227,3902265,26,5,0
228,8602683,46,1,0
229,7636933,44,4,0
230,665309,69,11,0
231,9812058,72,1,0
232,9999180,22,0,0
233,1126863,43,1,0
234,8774556,63,2,0
235,1882143,45,19,1
236,7167762,49,14,1
237,7743419,71,15,1
238,3562528,58,9,0
239,5323322,77,13,0
240,5596467,26,17,0
241,9305585,69,8,1
242,4539480,46,3,0
243,9480069,64,2,0
244,9772105,29,12,0
245,9507533,32,4,0
246,2218280,34,9,0
247,2252443,77,0,0
248,4525338,23,1,0
249,9984878,51,18,0
250,2285062,38,2,0
251,6715263,29,0,1
252,2959223,43,2,0
253,2370396,69,4,0
254,3426695,73,4,0
255,1923950,50,12,0
256,2416807,70,10,0
257,10310,70,20,0
258,2436026,50,4,0
259,5046084,62,7,0
260,6415225,54,13,0
261,1632386,43,20,1
262,6220011,57,19,0
263,461499,68,2,0
264,7579274,26,8,0
265,7291839,41,1,1
266,7583437,74,13,0
267,9933885,65,12,0
268,4187964,78,2,1
269,5498131,61,15,0
270,3308198,76,10,0
271,2452563,75,3,0
272,7877007,49,9,0
273,7525294,43,11,0
274,2062343,40,15,0
275,6152756,49,3,0
276,6325118,21,13,1
277,9043312,71,10,0
278,9344382,38,14,0
279,9173731,47,3,0
280,1996629,48,16,0
281,2451457,31,9,0
282,4855342,24,0,0
283,2955958,35,17,1
284,6360265,31,18,0
285,2183371,23,20,0
286,4718273,25,10,0
287,8459716,79,1,0
288,2101952,46,18,0
289,4531094,41,6,0
290,7362151,65,4,0
291,6272411,69,2,0
292,7110369,35,7,0
293,7352225,78,14,0
294,2442178,34,15,0
295,6975092,73,9,0
296,6947233,62,10,0
297,1818927,69,8,0
298,6197730,71,3,0
299,568591,65,5,0
300,7167873,61,0,1
301,2277429,42,18,0
302,5697835,55,14,0
303,9127290,22,11,1
304,8433425,63,13,0
305,5419964,40,4,0
306,9510775,48,3,0
307,908803,22,18,0
308,8010013,45,11,0
309,5468664,30,2,1
310,6936269,46,9,0
311,6448514,30,6,0
312,667848,58,10,0
313,6787542,22,0,1
314,9348360,48,12,0
315,4543268,32,17,0
316,8143086,22,3,1
317,5714288,44,0,0
318,4110066,43,0,0
319,6668606,45,2,0
320,2696703,57,14,0
321,8573668,57,15,1
322,7086647,24,4,0
323,3342757,21,18,0
324,2663598,63,15,0
325,1680177,33,18,1
326,854917,34,0,0
327,2485396,26,6,0
328,3261742,36,11,0
329,6518572,76,17,0
330,4706227,76,6,0
331,2429683,43,20,1
332,7020077,63,9,1
333,9815414,26,5,1
334,2055989,25,18,0
335,8593443,49,12,0
336,67428,49,12,0
337,4356905,62,2,0
338,4496096,55,17,1
339,3419204,79,18,0
340,4445947,53,17,1
341,2542814,55,10,0
342,1670303,35,13,0
343,661573,42,20,0
344,8867807,63,0,0
345,2132506,79,11,0
346,8739174,28,5,0
347,2432816,37,4,0
348,9446738,55,2,0
349,3148837,37,17,0
350,8378891,40,10,0
351,7660598,72,11,1
352,5331462,57,20,0
353,4958467,76,2,0
354,1576088,37,13,1
355,7867670,60,19,0
356,5531708,43,9,0
357,8776228,37,15,1
358,7702379,76,6,0
359,3722050,73,12,0
360,9910903,26,15,0
361,6985683,77,13,0
362,6952653,40,6,0
363,3991574,62,20,0
364,7995914,71,0,0
365,6785181,32,11,1
366,7455976,69,5,0
367,6190329,21,13,0
368,1672431,45,8,0
369,7339398,55,11,0
370,4523349,28,2,0
371,8262466,46,4,0
372,5273396,30,13,0
373,780090,55,9,1
374,3128681,59,4,0
375,3589662,42,18,0
376,6121261,23,15,0
377,5817501,61,2,0
378,9282569,77,10,0
379,4510338,53,17,1
380,3498735,38,3,0
381,8802134,69,5,0
382,4594450,79,14,0
383,2703840,48,17,0
384,4804358,79,19,0
385,3983388,51,16,0
386,4406911,45,3,0
387,6402349,68,7,0
388,7922894,22,9,0
389,1853560,73,8,0
390,8693161,53,5,0
391,3171323,21,17,0
392,2704782,79,6,0
393,8190070,61,9,0
394,4131397,33,17,0
395,5881185,47,4,0
396,321358,78,17,1
397,1625328,49,19,0
398,2653315,76,8,0
399,8698268,46,19,1
400,7497401,79,15,0
401,9454655,35,7,0
402,681770,28,5,0
403,8927753,25,17,1
404,6246061,59,6,0
405,4074914,40,16,0
406,4273001,62,14,1
407,1904060,72,8,0
408,4788890,62,5,0
409,5808564,65,16,0
410,1509327,51,0,0
411,8944435,51,2,0
412,527900,61,9,1
413,2530244,47,1,0
414,7914034,23,2,1
415,8160444,30,19,0
416,8500708,28,3,0
417,1850597,55,12,0
418,9516861,67,0,0
419,9800971,62,14,0
420,9049657,25,12,0
421,8510110,49,15,0
422,8230848,34,3,0
423,5615027,23,14,0
424,3460548,36,13,0
425,7847940,64,16,1
426,2901323,56,2,0
427,6722440,47,7,1
428,2259654,42,2,1
429,7667495,24,3,0
430,3890518,64,19,0
431,4436534,52,1,0
432,4888019,73,14,0
433,6588340,29,3,0
434,9241363,62,18,1
435,7592145,68,20,0
436,8491491,61,20,0
437,368667,48,2,0
438,7779633,57,10,0
439,9078403,25,18,0
440,2562525,54,8,0
441,8914067,77,18,0
442,842278,30,18,0
443,2336237,66,6,0
444,2808095,24,11,0
445,9434706,30,9,0
446,8633347,27,4,0
447,8458367,79,1,0
448,8273187,69,0,0
449,842194,27,16,0
450,630441,37,4,0
451,7891663,64,6,0
452,7894460,25,5,0
453,4846957,75,2,0
454,3272246,72,7,0
455,649902,54,15,1
456,9186273,50,20,0
457,8576968,35,18,0
458,5492355,28,2,0
459,9215066,69,11,1
460,4432283,61,5,1
461,7467167,57,6,0
462,4147754,21,18,0
463,7124175,44,15,1
464,1964155,51,13,0
465,7591621,41,6,1
466,3595993,49,6,0
467,5867167,60,14,0
468,9254833,63,13,0
469,4371590,66,19,0
470,549476,47,1,1
471,5628436,48,13,1
472,8893842,74,17,0
473,223993,54,7,1
474,7469378,62,0,0
475,1462402,48,4,0
476,6453233,68,13,0
477,9304920,44,6,0
478,5445375,52,19,0
479,706809,71,3,1
480,5169846,54,13,0
481,4614035,42,15,0
482,126261,69,6,0
483,4149976,35,15,0
484,133954,27,15,0
485,4824858,58,15,1
486,6118570,53,14,0
487,5603227,62,9,0
488,3638802,76,5,0
489,9468291,32,0,0
490,3985432,47,13,0
491,4493999,57,0,0
492,7884489,25,14,0
493,2717090,71,2,0
494,2192899,45,12,0
495,1988524,50,6,1
496,8644938,26,11,0
497,4070923,23,6,0
498,1966474,26,16,1
499,3215432,37,6,0
500,28561,63,13,0
